Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Status,Borough,Latitude,Longitude
37380626,10/9/17 1:37,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,Assigned,BROOKLYN,40.61533,-73.97114896
37381651,10/9/17 1:39,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10463,Open,BRONX,40.88718312,-73.9046156
37382972,10/9/17 1:41,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,Open,QUEENS,40.67388704,-73.81984521
37381653,10/9/17 1:41,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11372,Open,QUEENS,40.75124818,-73.8864898
37380219,10/9/17 1:44,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,Assigned,BRONX,40.85736282,-73.88726305
37382212,10/9/17 1:45,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10033,Open,MANHATTAN,40.84654331,-73.93327461
37383146,10/9/17 1:47,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,Assigned,BRONX,40.84286894,-73.89704595
37379983,10/9/17 1:47,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11433,Open,QUEENS,40.70627615,-73.78509993
37378663,10/9/17 1:48,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,Open,MANHATTAN,40.83342349,-73.94334465
37381387,10/9/17 1:51,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10469,Open,BRONX,40.87156647,-73.85082825
37379237,10/9/17 1:51,DCA,Department of Consumer Affairs,Consumer Complaint,Prohibited Item Sale to Minor,,11208,Open,BROOKLYN,40.67741973,-73.8760377
37381918,10/9/17 1:54,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10010,Assigned,MANHATTAN,40.73934142,-73.98432432
37382721,10/9/17 1:57,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,Open,MANHATTAN,40.85071042,-73.93943698
37382360,10/9/17 1:59,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,Assigned,BROOKLYN,40.57748673,-73.95960623
37382503,10/9/17 2:00,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11101,Open,QUEENS,40.75530547,-73.91978726
37381155,10/9/17 2:02,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10033,Open,MANHATTAN,40.85231002,-73.93342787
37381141,10/9/17 2:02,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,10017,Open,MANHATTAN,40.7547827,-73.97993525
37379477,10/9/17 2:06,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11205,Open,BROOKLYN,40.69069465,-73.95727311
37380092,10/9/17 2:06,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10462,Open,BRONX,40.83780018,-73.85225196
37382149,10/9/17 2:07,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10462,Assigned,BRONX,40.83488348,-73.85297758
37382458,10/9/17 2:09,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11412,Open,QUEENS,40.69532231,-73.75257836
37378573,10/9/17 2:10,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,Open,QUEENS,40.67484573,-73.79412023
37378821,10/9/17 2:12,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,Open,BROOKLYN,40.66000933,-73.96082497
37380801,10/9/17 2:12,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11354,Open,QUEENS,40.76531992,-73.81591208
37379555,10/9/17 2:13,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,Assigned,BROOKLYN,40.61026008,-73.98364872
37380935,10/9/17 2:14,DOT,Department of Transportation,Street Condition,Pothole,,11357,Open,QUEENS,40.7868191,-73.80727974
37381980,10/9/17 2:36,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11360,Assigned,QUEENS,40.78039888,-73.77530287
