Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Status,Borough,Latitude,Longitude
37379884,10/9/17 0:42,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10465,Assigned,BRONX,40.81636809,-73.8389576
37381695,10/9/17 0:42,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,Open,BRONX,40.83033856,-73.91275885
37378576,10/9/17 0:42,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,Open,QUEENS,40.67818377,-73.80700962
37378802,10/9/17 0:42,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10472,Closed,BRONX,40.83116016,-73.8749888
37381960,10/9/17 0:43,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11221,Assigned,BROOKLYN,40.69373317,-73.92950048
37382338,10/9/17 0:43,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,Open,BRONX,40.8875953,-73.85719373
37380146,10/9/17 0:43,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11225,Open,BROOKLYN,40.66142813,-73.95285128
37380989,10/9/17 0:44,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10024,Open,MANHATTAN,40.78824945,-73.96835477
37382931,10/9/17 0:44,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11230,Assigned,BROOKLYN,40.63333171,-73.95781784
37379823,10/9/17 0:44,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11435,Closed,QUEENS,40.70578404,-73.80958791
37381114,10/9/17 0:45,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,Open,BROOKLYN,40.66988432,-73.95875
37378634,10/9/17 0:45,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10461,Assigned,BRONX,40.85245402,-73.83206371
37382363,10/9/17 0:46,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11369,Open,QUEENS,40.76057988,-73.86804619
37381694,10/9/17 0:50,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,Assigned,BRONX,40.84832289,-73.90699545
37383257,10/9/17 0:50,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,Assigned,BRONX,40.85354567,-73.91729026
37382161,10/9/17 0:50,TLC,Taxi and Limousine Commission,Taxi Report,Driver Report,Street,10018,Closed,MANHATTAN,40.74950241,-73.983795
37380426,10/9/17 0:50,NYPD,New York City Police Department,Vending,Unlicensed,Store/Commercial,11235,Assigned,BROOKLYN,40.58369357,-73.94804232
37382169,10/9/17 0:51,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11205,Open,BROOKLYN,40.69216321,-73.95757147
37382943,10/9/17 0:51,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,Closed,BROOKLYN,40.65416152,-73.92482109
37381886,10/9/17 0:52,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11355,Assigned,QUEENS,40.75945556,-73.82548311
37380701,10/9/17 0:52,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11374,Assigned,QUEENS,40.72779583,-73.85599197
37379197,10/9/17 0:53,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,Open,BROOKLYN,40.62951618,-73.97593795
37382932,10/9/17 0:53,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,Assigned,QUEENS,40.70320199,-73.85538869
37382573,10/9/17 0:54,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,Assigned,BROOKLYN,40.67055404,-73.93028561
37382583,10/9/17 0:54,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11204,Closed,BROOKLYN,40.61031763,-73.98303643
37380456,10/9/17 0:54,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10001,Closed,MANHATTAN,40.75011283,-73.99632948
37383192,10/9/17 0:54,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,Open,QUEENS,40.68179229,-73.80978982
37378597,10/9/17 0:55,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385,Assigned,QUEENS,40.6976565,-73.9077033
37382679,10/9/17 0:56,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11224,Assigned,BROOKLYN,40.57771015,-74.01086074
37382570,10/9/17 0:56,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,Open,BRONX,40.85541857,-73.89798447
37382722,10/9/17 0:56,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,Assigned,BROOKLYN,40.61533,-73.97114896
37381388,10/9/17 0:57,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11377,Assigned,QUEENS,40.74714845,-73.90248107
37379484,10/9/17 0:58,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11101,Assigned,QUEENS,40.75770039,-73.94592133
37382804,10/9/17 0:59,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11413,Open,QUEENS,40.67006998,-73.74737651
37379824,10/9/17 0:59,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10463,Assigned,BRONX,40.87215762,-73.90334993
37383090,10/9/17 1:00,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10467,Closed,BRONX,40.87905459,-73.87438526
37380491,10/9/17 1:02,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,Open,QUEENS,40.69598865,-73.7865251
37380855,10/9/17 1:02,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027,Closed,MANHATTAN,40.81808767,-73.9604754
37381853,10/9/17 1:03,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,Assigned,BROOKLYN,40.58800444,-73.96705991
37379489,10/9/17 1:04,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10019,Closed,MANHATTAN,40.76741498,-73.9866354
37378575,10/9/17 1:05,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,Open,BRONX,40.85745506,-73.89789097
37379255,10/9/17 1:05,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11211,Open,BROOKLYN,40.71329276,-73.95148715
37378661,10/9/17 1:05,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11369,Open,QUEENS,40.76836528,-73.87411749
37379393,10/9/17 1:05,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10471,Open,BRONX,40.8978374,-73.89752871
37379593,10/9/17 1:05,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11421,Assigned,QUEENS,40.68618005,-73.86076566
37381276,10/9/17 1:06,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11233,Closed,BROOKLYN,40.67331616,-73.91523901
37383061,10/9/17 1:07,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,Assigned,BROOKLYN,40.61533,-73.97114896
37381659,10/9/17 1:09,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10019,Closed,MANHATTAN,40.76741498,-73.9866354
37383170,10/9/17 1:09,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,Assigned,QUEENS,40.75745003,-73.86731604
37381290,10/9/17 1:09,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,Closed,MANHATTAN,40.7969939,-73.94561131
37378676,10/9/17 1:11,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432,Closed,QUEENS,40.71802762,-73.79940521
37379604,10/9/17 1:11,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11206,Closed,BROOKLYN,40.70196489,-73.92976588
37383016,10/9/17 1:12,NYPD,New York City Police Department,Vending,In Prohibited Area,Store/Commercial,10460,Closed,BRONX,40.8410869,-73.86447841
37378818,10/9/17 1:12,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11226,Closed,BROOKLYN,40.65034313,-73.95580699
